asset,model,checkpoint_steps,total_return_pct,sharpe,max_drawdown_pct,calmar,win_rate_pct,n_trades,final_capital,n_steps
AMZN,trader_ppo_50000_steps,50000,17.36,0.678,-10.07,1.723,100.0,1,11735.53,537
AUDUSDX,trader_ppo_50000_steps,50000,-2.05,-0.319,-3.25,-0.63,0.0,1,9794.92,556
BNB_USD,trader_ppo_50000_steps,50000,-6.44,-0.786,-6.44,-1.0,0.0,1,9355.65,793
BTC_USD,trader_ppo_50000_steps,50000,-4.28,-0.483,-5.0,-0.857,100.0,1,9571.59,793
CLF,trader_ppo_50000_steps,50000,-4.9,-0.984,-4.9,-1.0,0.0,1,9510.29,539
DJI,trader_ppo_50000_steps,50000,-1.41,-0.016,-15.42,-0.092,25.0,4,9858.82,537
ETH_USD,trader_ppo_50000_steps,50000,-8.87,-0.773,-8.87,-1.0,0.0,1,9112.83,793
EURUSDX,trader_ppo_50000_steps,50000,-2.24,-0.549,-3.14,-0.713,0.0,1,9775.75,556
FCHI,trader_ppo_50000_steps,50000,-2.96,-0.223,-9.49,-0.312,0.0,4,9704.04,548
FTSE,trader_ppo_50000_steps,50000,-1.47,-0.592,-2.2,-0.671,100.0,1,9852.57,544
GBPUSDX,trader_ppo_50000_steps,50000,-2.3,-0.526,-3.4,-0.676,0.0,1,9770.48,556
GCF,trader_ppo_50000_steps,50000,-2.19,-1.028,-2.19,-1.0,0.0,2,9781.08,539
GDAXI,trader_ppo_50000_steps,50000,12.1,0.525,-15.58,0.777,20.0,5,11210.3,544
GSPC,trader_ppo_50000_steps,50000,16.14,0.77,-10.13,1.593,100.0,1,11613.87,537
HGF,trader_ppo_50000_steps,50000,-3.54,-1.193,-3.54,-1.0,0.0,1,9646.29,539
HSI,trader_ppo_50000_steps,50000,12.94,0.673,-10.85,1.192,0.0,1,11293.6,526
MSFT,trader_ppo_50000_steps,50000,6.31,0.355,-10.6,0.595,0.0,3,10630.58,537
N225,trader_ppo_50000_steps,50000,3.97,0.266,-10.88,0.365,0.0,1,10396.63,520
NDX,trader_ppo_50000_steps,50000,4.21,0.263,-13.53,0.311,0.0,1,10421.4,537
NGF,trader_ppo_50000_steps,50000,-5.58,-0.936,-5.62,-0.993,0.0,1,9442.38,539
NVDA,trader_ppo_50000_steps,50000,41.19,1.047,-10.16,4.056,100.0,1,14118.87,537
RUT,trader_ppo_50000_steps,50000,6.83,0.353,-10.1,0.676,100.0,1,10682.55,537
SIF,trader_ppo_50000_steps,50000,10.06,0.414,-13.02,0.772,57.9,19,11006.02,539
SOL_USD,trader_ppo_50000_steps,50000,-7.42,-0.521,-8.05,-0.922,100.0,1,9257.85,793
TSLA,trader_ppo_50000_steps,50000,-1.37,-0.203,-4.13,-0.331,100.0,1,9863.32,537
USDCHFX,trader_ppo_50000_steps,50000,-2.17,-0.246,-7.96,-0.272,0.0,1,9783.22,556
USDJPYX,trader_ppo_50000_steps,50000,-1.56,-0.126,-10.45,-0.149,0.0,1,9844.2,556
XRP_USD,trader_ppo_50000_steps,50000,-5.39,-0.773,-5.39,-1.0,0.0,1,9461.49,793
